transaction_id,customer_id,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,coupon_code,discount_pct,payment_method,shipping_provider,transaction_rating,net_revenue
36608,14167,2024-08-25,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,20,1.59,14.96,Not Used,no,0.0,PayPal,CouriersPlease,4.0,31.8
39815,15235,2024-04-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,20,1.99,6.0,Used,EXTRA10,10.0,Credit Card,StarTrack Express,3.0,35.82
26405,17827,2024-04-25,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,20,1.99,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,39.8
36099,15569,2024-08-19,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,25,1.99,12.99,Used,EXTRA20,20.0,Credit Card,CouriersPlease,2.0,39.800000000000004
39753,13969,2024-04-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,25,1.99,6.0,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,3.0,44.775
40331,13742,2024-10-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,25,1.99,6.0,Used,EXTRA10,10.0,Credit Card,StarTrack Express,2.0,44.775
24209,14796,2024-03-27,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,35,1.99,6.5,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,3.0,48.755
19970,14396,2024-08-02,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,40,1.59,86.74,Used,EXTRA20,20.0,Credit Card,Toll Priority,4.0,50.88
38176,16033,2024-09-14,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,30,1.99,19.99,Not Used,no,0.0,PayPal,Toll Priority,4.0,59.7
26865,15514,2024-01-05,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,40,1.99,6.0,Used,EXTRA20,20.0,Credit Card,StarTrack Express,3.0,63.68
38152,18212,2024-09-14,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,46,1.99,6.0,Used,EXTRA30,30.0,Credit Card,StarTrack Express,4.0,64.078
30306,15482,2024-06-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.59,12.48,Not Used,no,0.0,Credit Card,CouriersPlease,4.0,79.5
29950,17551,2024-09-06,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.59,12.48,Not Used,no,0.0,Credit Card,CouriersPlease,4.0,79.5
36901,15687,2024-08-29,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.99,6.0,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,3.0,79.600000000000009
34865,15485,2024-07-08,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.99,6.0,Used,EXTRA20,20.0,PayPal,Australia Post Courier,3.0,79.600000000000009
20327,16839,2024-02-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.99,6.5,Used,EXTRA20,20.0,Credit Card,StarTrack Express,2.0,79.600000000000009
17740,13093,2024-12-01,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,52,1.97,6.5,Used,EXTRA10,10.0,Credit Card,StarTrack Express,3.0,92.196
22769,13468,2024-03-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,50,1.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,2.0,99.5
18155,13108,2024-01-18,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,52,1.97,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,3.0,102.44
24591,16016,2024-03-31,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,100,1.99,6.5,Used,EXTRA30,30.0,Debit Card,StarTrack Express,4.0,139.29999999999998
20861,12748,2024-02-20,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,100,1.99,6.5,Used,EXTRA20,20.0,PayPal,Australia Post Courier,4.0,159.20000000000002
18296,18041,2024-01-19,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,103,1.99,323.47,Used,EXTRA10,10.0,Credit Card,Toll Priority,3.0,184.473
17162,16583,2024-05-01,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,155,1.99,6.5,Used,EXTRA10,10.0,Credit Card,Australia Post Express,4.0,277.605
21184,14161,2024-02-23,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,4.99,6.48,Used,EXTRA20,20.0,PayPal,Australia Post Express,2.0,3.9920000000000004
24425,13126,2024-03-29,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Used,EXTRA30,30.0,Credit Card,Australia Post Express,2.0,13.992999999999999
22281,15048,2024-07-03,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,41.3,Used,EXTRA30,30.0,Credit Card,Toll Priority,2.0,13.992999999999999
24202,15628,2024-03-27,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Used,EXTRA30,30.0,Venmo,Australia Post Courier,3.0,13.992999999999999
22779,17757,2024-03-14,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Used,EXTRA30,30.0,PayPal,StarTrack Express,3.0,13.992999999999999
30994,14220,2024-06-22,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.0,Used,EXTRA30,30.0,Debit Card,Australia Post Courier,2.0,13.992999999999999
29546,17449,2024-04-06,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.0,Used,EXTRA30,30.0,PayPal,StarTrack Express,2.0,13.992999999999999
19809,17954,2024-06-02,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,12.76,Used,EXTRA20,20.0,Credit Card,CouriersPlease,1.0,15.991999999999999
27131,15503,2024-03-05,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,12.99,Used,EXTRA20,20.0,Credit Card,CouriersPlease,3.0,15.991999999999999
22728,16710,2024-03-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,1.0,17.493
31277,12417,2024-06-26,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,1.0,17.493
31404,14016,2024-06-27,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,2.0,17.493
25056,16722,2024-07-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Used,EXTRA10,10.0,PayPal,Australia Post Express,1.0,17.991
24876,14217,2024-05-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,2.0,17.991
32575,15044,2024-07-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,20.85,Used,EXTRA10,10.0,PayPal,Toll Priority,1.0,17.991
25960,17950,2024-04-19,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.0,Used,EXTRA10,10.0,PayPal,Australia Post Express,2.0,17.991
32433,17961,2024-12-07,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,49.73,Used,EXTRA10,10.0,Credit Card,Toll Priority,2.0,17.991
18971,15574,2024-01-27,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,20.62,6.5,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,4.0,18.558
32434,13148,2024-12-07,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,49.73,Not Used,no,0.0,Credit Card,Toll Priority,2.0,19.99
20319,15708,2024-02-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,3.0,19.99
25017,13140,2024-07-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Express,2.0,19.99
23885,15061,2024-03-23,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Express,3.0,19.99
26331,17790,2024-04-24,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,12.48,Not Used,no,0.0,PayPal,CouriersPlease,3.0,19.99
21099,15808,2024-02-22,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Not Used,no,0.0,Cash,Australia Post Express,2.0,19.99
24445,16713,2024-03-29,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Express,4.0,19.99
20182,18055,2024-11-02,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA20,20.0,PayPal,Australia Post Express,3.0,19.992
28876,14057,2024-05-25,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA20,20.0,PayPal,Australia Post Courier,3.0,19.992
20568,12841,2024-02-16,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA20,20.0,PayPal,StarTrack Express,2.0,19.992
27329,17218,2024-05-05,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,5.0,19.992
19640,13013,2024-03-02,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA20,20.0,Credit Card,StarTrack Express,2.0,19.992
17005,14307,2024-04-01,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,20.62,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,2.0,20.62
26005,13327,2024-04-19,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,2.0,22.491
26271,17696,2024-04-23,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,75.0,Used,EXTRA10,10.0,Credit Card,Toll Priority,3.0,22.491
25558,14440,2024-04-14,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,12.99,Used,EXTRA10,10.0,Credit Card,CouriersPlease,1.0,22.491
24790,16713,2024-04-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA10,10.0,PayPal,Australia Post Courier,4.0,22.491
32608,17894,2024-07-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Used,EXTRA10,10.0,PayPal,StarTrack Express,2.0,22.491
25384,15983,2024-12-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,2.0,22.491
25516,14896,2024-04-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.0,Not Used,no,0.0,Cash,Australia Post Express,3.0,24.99
24651,17341,2024-02-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Express,2.0,24.99
23161,17812,2024-03-18,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,2,24.99,56.32,Used,EXTRA30,30.0,PayPal,Toll Priority,2.0,34.986
30119,17980,2024-11-06,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,2,19.99,6.0,Not Used,no,0.0,Debit Card,Australia Post Courier,1.0,39.98
27922,13209,2024-12-05,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,2,19.99,6.0,Not Used,no,0.0,Debit Card,StarTrack Express,1.0,39.98
21280,15311,2024-02-24,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,2,24.99,6.5,Used,EXTRA20,20.0,Debit Card,Australia Post Courier,1.0,39.984
30508,15574,2024-06-16,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,3,24.99,6.0,Used,EXTRA30,30.0,Credit Card,StarTrack Express,4.0,52.479
23106,17218,2024-03-17,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,4,19.99,6.5,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,5.0,55.971999999999994
20321,15708,2024-02-13,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,3,24.99,6.5,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,3.0,59.976
30468,16743,2024-06-15,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,5,19.99,12.48,Used,EXTRA30,30.0,Credit Card,CouriersPlease,1.0,69.964999999999989
17482,14237,2024-09-01,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,5,20.62,50.74,Used,EXTRA10,10.0,Credit Card,Toll Priority,2.0,92.79
23123,17218,2024-03-17,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,4,24.99,6.5,Not Used,no,0.0,Debit Card,Australia Post Courier,5.0,99.96
25294,15660,2024-11-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,6,19.99,12.48,Used,EXTRA10,10.0,Credit Card,CouriersPlease,3.0,107.946
25030,17999,2024-07-04,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,8,24.99,6.5,Used,EXTRA10,10.0,PayPal,StarTrack Express,3.0,179.928
30463,16743,2024-06-15,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,20.0,Used,BT30,30.0,Credit Card,Toll Priority,3.0,1.673
38730,14646,2024-09-22,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Used,BT30,30.0,Credit Card,Australia Post Express,5.0,1.673
31141,13004,2024-06-24,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Used,BT30,30.0,Debit Card,Australia Post Express,3.0,1.673
37283,14156,2024-02-09,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Used,BT30,30.0,Credit Card,StarTrack Express,4.0,1.673
36752,14085,2024-08-27,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Used,BT20,20.0,Credit Card,Australia Post Courier,3.0,1.9120000000000001
37694,12626,2024-08-09,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT30,30.0,Credit Card,StarTrack Express,3.0,2.093
31404,14016,2024-06-27,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT30,30.0,Credit Card,Australia Post Courier,2.0,2.093
25057,16722,2024-07-04,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.5,Used,BT10,10.0,Debit Card,Australia Post Courier,3.0,2.1510000000000002
32716,12585,2024-07-14,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.5,Used,BT10,10.0,PayPal,Australia Post Express,3.0,2.1510000000000002
24638,17722,2024-02-04,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.5,Used,BT10,10.0,Credit Card,Australia Post Courier,3.0,2.1510000000000002
20407,14813,2024-02-14,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.5,Not Used,no,0.0,PayPal,Australia Post Courier,2.0,2.39
32442,12423,2024-12-07,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,2.39
37286,14156,2024-03-09,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,6.0,Not Used,no,0.0,PayPal,Australia Post Courier,2.0,2.39
34507,14217,2024-02-08,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.39,12.99,Not Used,no,0.0,Credit Card,CouriersPlease,3.0,2.39
28908,13178,2024-05-25,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT20,20.0,Credit Card,Australia Post Courier,3.0,2.3920000000000003
28757,14901,2024-05-24,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,50.0,Used,BT20,20.0,Credit Card,Toll Priority,3.0,2.3920000000000003
37060,12553,2024-08-31,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT20,20.0,Credit Card,Australia Post Express,2.0,2.3920000000000003
19662,14210,2024-04-02,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.5,Used,BT20,20.0,Credit Card,Australia Post Courier,4.0,2.3920000000000003
29203,16805,2024-05-31,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,12.99,Used,BT20,20.0,PayPal,CouriersPlease,3.0,2.3920000000000003
39744,17094,2024-04-10,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT10,10.0,Credit Card,Australia Post Courier,4.0,2.6910000000000003
26314,17880,2024-04-24,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Used,BT10,10.0,PayPal,Australia Post Courier,3.0,2.6910000000000003
20337,16931,2024-02-13,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.5,Not Used,no,0.0,Cash,Australia Post Courier,4.0,2.99
39092,12637,2024-09-26,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,3.0,2.99
37928,13982,2024-11-09,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,2.99
28990,12370,2024-05-26,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.0,Not Used,no,0.0,PayPal,StarTrack Express,3.0,2.99
22016,17674,2024-04-03,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,2.99
35895,15640,2024-08-17,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2.99,12.99,Not Used,no,0.0,PayPal,CouriersPlease,3.0,2.99
24524,15021,2024-03-30,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.5,Used,BT30,30.0,PayPal,Australia Post Express,3.0,3.346
29097,14606,2024-05-29,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.0,Used,BT20,20.0,PayPal,Australia Post Express,3.0,3.8240000000000003
35145,16735,2024-09-08,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,12.99,Used,BT20,20.0,PayPal,CouriersPlease,3.0,3.8240000000000003
39151,15529,2024-09-27,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.99,6.0,Used,BT30,30.0,Credit Card,Australia Post Courier,3.0,4.186
31340,12621,2024-06-27,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.99,6.0,Used,BT30,30.0,Credit Card,Australia Post Express,3.0,4.186
31940,13050,2024-05-07,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.0,Used,BT10,10.0,PayPal,Australia Post Courier,3.0,4.3020000000000005
32241,14051,2024-10-07,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.5,Used,BT10,10.0,Credit Card,Australia Post Courier,3.0,4.3020000000000005
29183,16556,2024-05-30,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.0,Not Used,no,0.0,Credit Card,Australia Post Express,3.0,4.78
25330,15358,2024-11-04,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.5,Not Used,no,0.0,PayPal,Australia Post Courier,2.0,4.78
32216,14606,2024-10-07,GGOEADHH055999,22 oz Android Bottle,Bottles,2,2.39,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,4.78
